y,p,r,flex1,flex2,flex3,flex4,x
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,1
0.01,-0.02,0.41,1023.00,1023.00,1023.00,1022.00,2
0.01,-0.04,0.39,1023.00,1023.00,1023.00,1023.00,3
0.00,-0.05,0.40,1023.00,1023.00,1022.00,1023.00,4
0.00,-0.06,0.38,1023.00,1023.00,1023.00,1023.00,5
0.00,-0.05,0.38,1023.00,1023.00,1023.00,1023.00,6
0.00,-0.05,0.37,1023.00,1023.00,1023.00,1023.00,7
0.00,-0.05,0.36,1023.00,1023.00,1023.00,1023.00,8
0.01,-0.06,0.35,1023.00,1023.00,1023.00,1023.00,9
0.01,-0.06,0.34,1023.00,1023.00,1023.00,1023.00,10
0.01,-0.06,0.33,1023.00,1023.00,1023.00,1022.00,11
0.01,-0.06,0.32,1023.00,1023.00,1023.00,1023.00,12
0.01,-0.06,0.31,1023.00,1023.00,1023.00,1023.00,13
0.01,-0.06,0.31,1023.00,1023.00,1023.00,1023.00,14
0.01,-0.06,0.31,1023.00,1023.00,1023.00,1023.00,15
0.01,-0.06,0.29,1023.00,1023.00,1023.00,1023.00,16
0.02,-0.06,0.29,1023.00,1023.00,1023.00,1023.00,17
0.03,-0.06,0.27,1023.00,1023.00,1023.00,1023.00,18
0.08,-0.03,0.25,1023.00,1023.00,1023.00,1023.00,19
0.46,0.08,0.13,1023.00,1023.00,1023.00,1023.00,20
0.95,0.20,-0.51,1023.00,1023.00,1023.00,1023.00,21
1.62,0.37,-1.32,1023.00,1023.00,1023.00,1023.00,22
2.88,0.76,-2.61,1023.00,1023.00,1023.00,1023.00,23
5.02,0.81,-5.49,1023.00,1023.00,1023.00,1023.00,24
9.17,0.61,-12.17,1023.00,1009.00,984.00,984.00,25
14.42,0.43,-24.26,1023.00,1021.00,1020.00,1019.00,26
19.20,1.78,-38.23,1023.00,1011.00,1013.00,1012.00,27
23.14,4.90,-49.17,1023.00,954.00,967.00,952.00,28
26.23,8.98,-57.83,1023.00,985.00,989.00,993.00,29
28.73,13.08,-65.10,1011.00,1014.00,1016.00,1017.00,30
30.21,17.62,-72.40,1011.00,1022.00,1012.00,1022.00,31
29.40,22.31,-81.22,984.00,1021.00,1022.00,1021.00,32
26.90,153.06,-90.05,979.00,1022.00,1021.00,1023.00,33
22.89,147.95,-98.82,976.00,1021.00,1021.00,1022.00,34
15.87,144.33,-107.14,986.00,1023.00,1023.00,1022.00,35
9.35,139.46,-114.97,983.00,1023.00,1023.00,1023.00,36
1.76,134.74,-122.14,992.00,1023.00,1023.00,1023.00,37
-5.85,130.65,-128.30,990.00,1023.00,1023.00,1023.00,38
-11.49,127.11,-132.16,988.00,1022.00,1023.00,1023.00,39
-13.64,124.44,-134.46,990.00,1023.00,1023.00,1023.00,40
-14.76,122.54,-136.33,988.00,1022.00,1022.00,1020.00,41
-15.40,121.22,-137.91,993.00,1022.00,1021.00,1022.00,42
-16.26,120.23,-139.35,992.00,1022.00,1023.00,1023.00,43
-16.01,119.39,-140.40,993.00,1021.00,1019.00,1020.00,44
