y,p,r,flex1,flex2,flex3,flex4,x
0.01,-0.01,0.44,1023.00,1023.00,1023.00,1023.00,1
0.01,-0.02,0.44,1023.00,1023.00,1023.00,1023.00,2
0.01,-0.02,0.42,1023.00,1023.00,1023.00,1023.00,3
0.01,-0.02,0.41,1023.00,1023.00,1023.00,1023.00,4
0.01,-0.02,0.41,1023.00,1023.00,1023.00,1023.00,5
0.01,-0.03,0.40,1023.00,1023.00,1023.00,1023.00,6
0.01,-0.03,0.40,1023.00,1023.00,1023.00,1023.00,7
0.02,-0.04,0.38,1023.00,1023.00,1023.00,1022.00,8
0.03,-0.05,0.36,1023.00,1023.00,1023.00,1023.00,9
0.03,-0.06,0.34,1023.00,1023.00,1023.00,1023.00,10
0.04,-0.05,0.35,1023.00,1023.00,1023.00,1023.00,11
0.04,-0.05,0.33,1023.00,1023.00,1022.00,1023.00,12
0.04,-0.06,0.31,1023.00,1023.00,1023.00,1023.00,13
0.04,-0.05,0.32,1023.00,1023.00,1023.00,1023.00,14
0.04,-0.05,0.32,1023.00,1023.00,1023.00,1023.00,15
0.05,-0.06,0.29,1023.00,1023.00,1023.00,1023.00,16
0.05,-0.08,0.27,1023.00,1023.00,1023.00,1023.00,17
0.05,-0.07,0.29,1023.00,1023.00,1023.00,1022.00,18
0.06,-0.07,0.29,1023.00,1023.00,1023.00,1023.00,19
0.07,-0.08,0.27,1023.00,1023.00,1023.00,1023.00,20
0.07,-0.08,0.24,1023.00,1023.00,1023.00,1023.00,21
0.08,-0.08,0.24,1023.00,1023.00,1023.00,1023.00,22
0.11,-0.15,0.24,1023.00,1023.00,1023.00,1023.00,23
0.48,-0.48,-0.07,1023.00,1023.00,1023.00,1023.00,24
1.28,-1.35,-1.07,1023.00,1023.00,1023.00,1023.00,25
2.65,-3.46,-4.00,1023.00,1023.00,1023.00,1023.00,26
4.81,-6.80,-9.35,1023.00,1023.00,1023.00,1023.00,27
8.16,-9.45,-16.98,1023.00,1023.00,1023.00,1023.00,28
12.24,-10.65,-26.43,1023.00,1023.00,1023.00,1023.00,29
16.51,-9.79,-36.76,1008.00,1023.00,1023.00,1023.00,30
20.43,-7.85,-46.93,1007.00,1023.00,1023.00,1023.00,31
25.41,-3.62,-55.33,1000.00,1023.00,1023.00,1023.00,32
30.66,2.60,-62.81,961.00,1023.00,1023.00,1023.00,33
35.56,11.01,-69.85,944.00,1023.00,1023.00,1023.00,34
37.92,21.09,-78.24,947.00,1023.00,1023.00,1023.00,35
32.75,30.53,-88.66,947.00,1023.00,1023.00,1023.00,36
24.21,142.16,-98.11,943.00,1023.00,1022.00,1023.00,37
19.50,137.45,-105.58,948.00,1023.00,1023.00,1023.00,38
16.58,134.57,-111.86,940.00,1023.00,1023.00,1023.00,39
14.28,132.63,-117.72,933.00,1023.00,1023.00,1023.00,40
11.91,131.45,-122.89,934.00,1023.00,1023.00,1023.00,41
11.35,130.75,-126.26,939.00,1023.00,1023.00,1023.00,42
12.81,130.37,-127.47,942.00,1023.00,1023.00,1022.00,43
15.30,129.87,-127.46,942.00,1023.00,1023.00,1023.00,44
18.21,129.33,-126.65,958.00,1023.00,1023.00,1023.00,45
23.22,128.20,-125.10,978.00,989.00,1023.00,1023.00,46
26.11,127.19,-124.37,981.00,942.00,1023.00,1023.00,47
28.33,126.60,-123.87,989.00,869.00,1023.00,994.00,48
31.45,125.61,-123.61,998.00,829.00,1023.00,888.00,49
34.43,124.04,-122.56,991.00,781.00,1023.00,938.00,50
37.86,122.27,-120.37,986.00,779.00,1023.00,1023.00,51
41.11,120.37,-117.79,969.00,811.00,1023.00,1023.00,52
43.63,118.99,-114.68,954.00,840.00,1023.00,1023.00,53
45.34,118.12,-112.72,969.00,857.00,1023.00,1023.00,54
46.11,117.43,-112.89,983.00,887.00,1023.00,1023.00,55
46.25,116.75,-113.76,985.00,953.00,1023.00,1023.00,56
45.53,116.67,-114.94,997.00,980.00,1023.00,1023.00,57
41.81,117.79,-120.02,1004.00,989.00,1023.00,1023.00,58
34.45,121.26,-129.09,1013.00,976.00,1022.00,1021.00,59
26.31,126.94,-139.17,1023.00,1023.00,1023.00,1023.00,60
20.11,133.21,-146.72,1023.00,1023.00,1023.00,1023.00,61
13.53,140.70,-154.38,1020.00,1003.00,1023.00,1023.00,62
11.88,148.28,-156.66,1020.00,1015.00,1023.00,1023.00,63
14.63,156.41,-153.50,1009.00,1023.00,1023.00,1023.00,64
13.89,163.96,-151.47,1020.00,1023.00,1023.00,1023.00,65
13.15,168.53,-152.37,1004.00,1023.00,1023.00,1023.00,66
13.36,171.20,-153.48,1010.00,1023.00,1023.00,1023.00,67
13.85,172.98,-154.11,1023.00,1023.00,1023.00,1023.00,68
13.85,174.33,-155.05,1023.00,1023.00,1023.00,1023.00,69
13.76,175.81,-155.61,1023.00,1023.00,1023.00,1023.00,70
14.06,176.72,-155.93,1023.00,1023.00,1023.00,1023.00,71
1022.00,1023.00,-155.93,1023.00,1023.00,1023.00,1023.00,71
0.47,-0.55,0.99,1023.00,1023.00,1023.00,1023.00,72
0.48,-0.56,0.98,1023.00,1023.00,1022.00,1023.00,73
0.51,-0.63,0.96,1023.00,1023.00,1023.00,1023.00,74
