y,p,r,flex1,flex2,flex3,flex4,x
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,1
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,2
0.01,-0.01,0.42,1023.00,1023.00,1023.00,1023.00,3
0.01,-0.01,0.40,1023.00,1023.00,1023.00,1023.00,4
0.02,-0.01,0.38,1023.00,1023.00,1023.00,1023.00,5
0.02,-0.01,0.37,1023.00,1023.00,1023.00,1023.00,6
0.03,-0.02,0.36,1023.00,1023.00,1023.00,1023.00,7
0.04,-0.02,0.34,1023.00,1023.00,1023.00,1023.00,8
0.04,-0.03,0.33,1023.00,1023.00,1023.00,1023.00,9
0.04,-0.03,0.31,1023.00,1023.00,1023.00,1023.00,10
0.04,-0.02,0.31,1023.00,1023.00,1023.00,1023.00,11
0.04,-0.02,0.29,1023.00,1023.00,1023.00,1023.00,12
0.04,-0.02,0.29,1023.00,1023.00,1023.00,1023.00,13
0.04,-0.02,0.27,1023.00,1023.00,1023.00,1023.00,14
0.05,-0.02,0.27,1023.00,1023.00,1023.00,1023.00,15
0.06,-0.03,0.26,1023.00,1023.00,1023.00,1022.00,16
0.06,-0.03,0.24,1023.00,1023.00,1023.00,1023.00,17
0.07,-0.03,0.22,1023.00,1023.00,1023.00,1023.00,18
0.12,-0.00,0.18,1023.00,1023.00,1023.00,1023.00,19
0.60,0.41,-0.07,1023.00,1023.00,1023.00,1023.00,20
1.45,1.47,-0.97,1023.00,1023.00,1022.00,1023.00,21
1.95,2.54,-2.31,1023.00,1022.00,1023.00,1022.00,22
2.78,3.99,-3.95,1023.00,1021.00,1023.00,984.00,23
4.80,6.79,-7.37,1023.00,1023.00,1022.00,910.00,24
8.27,9.78,-13.60,1023.00,1023.00,1023.00,901.00,25
12.16,10.60,-21.93,1023.00,1023.00,1023.00,915.00,26
15.73,10.53,-32.31,1023.00,1023.00,1023.00,946.00,27
17.23,8.14,-43.37,1017.00,998.00,1022.00,929.00,28
18.28,7.68,-51.37,1018.00,955.00,971.00,914.00,29
19.25,9.37,-57.53,1023.00,918.00,988.00,945.00,30
19.31,9.62,-61.09,1023.00,896.00,881.00,925.00,31
18.44,8.99,-64.42,1023.00,858.00,822.00,916.00,32
18.09,8.87,-66.14,1023.00,838.00,799.00,947.00,33
17.02,8.55,-68.24,1023.00,851.00,768.00,968.00,34
15.31,7.77,-70.26,1023.00,852.00,767.00,961.00,35
13.84,6.86,-70.75,1023.00,859.00,770.00,924.00,36
12.07,5.58,-71.10,1023.00,874.00,741.00,925.00,37
10.81,4.70,-71.74,1023.00,880.00,747.00,924.00,38
10.64,4.80,-73.03,1003.00,882.00,768.00,922.00,39
10.69,5.28,-73.41,1003.00,891.00,780.00,921.00,40
10.69,5.30,-73.69,1003.00,893.00,781.00,924.00,41
10.67,5.36,-73.96,1003.00,892.00,785.00,923.00,42
10.99,5.63,-73.61,1004.00,895.00,791.00,922.00,43
11.29,5.75,-73.26,957.00,895.00,788.00,927.00,44
11.47,5.90,-73.25,956.00,894.00,811.00,947.00,45
11.60,6.09,-73.84,959.00,899.00,830.00,945.00,46
11.78,6.11,-74.40,963.00,896.00,828.00,923.00,47
11.93,5.74,-74.58,967.00,896.00,836.00,920.00,48
11.95,5.10,-75.10,983.00,891.00,835.00,921.00,49
11.47,3.82,-75.70,975.00,878.00,837.00,922.00,50
10.72,1.51,-75.70,982.00,863.00,840.00,901.00,51
10.52,-1.84,-75.03,988.00,829.00,852.00,913.00,52
9.79,-5.14,-76.12,989.00,827.00,862.00,909.00,53
9.51,-7.13,-77.48,991.00,810.00,862.00,913.00,54
9.93,-8.20,-78.62,990.00,806.00,880.00,908.00,55
11.36,-8.59,-78.59,991.00,760.00,898.00,928.00,56
12.51,-8.51,-78.75,991.00,755.00,904.00,938.00,57
13.52,-8.56,-78.54,992.00,755.00,910.00,941.00,58
14.42,-8.71,-77.85,993.00,758.00,920.00,926.00,59
14.96,-9.71,-76.37,995.00,769.00,923.00,921.00,60
15.66,-12.04,-73.35,998.00,766.00,927.00,916.00,61
15.45,-15.29,-69.37,994.00,763.00,932.00,917.00,62
14.27,-19.33,-63.85,1004.00,763.00,945.00,917.00,63
12.50,-23.63,-56.20,1011.00,762.00,950.00,916.00,64
8.43,-27.64,-47.72,1020.00,760.00,870.00,910.00,65
4.37,-28.44,-41.85,1008.00,764.00,906.00,912.00,66
0.31,-29.54,-34.09,1007.00,767.00,913.00,913.00,67
-2.43,-27.24,-21.48,1007.00,767.00,926.00,910.00,68
-6.27,-22.68,-13.20,1021.00,767.00,944.00,913.00,69
-11.15,-18.61,-8.98,973.00,769.00,952.00,910.00,70
-16.57,-13.63,-4.37,970.00,773.00,949.00,913.00,71
1023.00,1023.00,-4.37,970.00,773.00,949.00,913.00,71
0.29,-0.80,-0.20,1023.00,1023.00,1023.00,1023.00,72
0.29,-0.79,-0.20,1023.00,1023.00,1023.00,1023.00,73
0.29,-0.79,-0.20,1023.00,1023.00,1023.00,1023.00,74
0.31,-0.78,-0.18,1023.00,1023.00,1023.00,1023.00,75
0.41,-0.73,-0.30,1023.00,1023.00,1023.00,1023.00,76
0.59,-0.59,-0.51,1023.00,1023.00,1023.00,1023.00,77
0.80,-0.53,-0.84,1023.00,1023.00,1023.00,1023.00,78
1.12,-0.52,-1.42,1023.00,1023.00,1023.00,1023.00,79
1.66,-0.47,-2.78,1023.00,1023.00,1023.00,1022.00,80
2.27,-0.44,-5.43,1023.00,1023.00,1023.00,1023.00,81
3.07,-0.65,-9.24,1023.00,1011.00,1012.00,1012.00,82
4.50,-1.10,-14.90,1023.00,1019.00,1018.00,1018.00,83
6.56,-1.65,-22.62,1023.00,1023.00,1022.00,1021.00,84
8.84,-1.73,-32.32,1023.00,1023.00,1022.00,1021.00,85
11.38,-0.36,-42.29,1023.00,1022.00,1022.00,1022.00,86
13.11,1.24,-52.19,1023.00,1021.00,1021.00,1022.00,87
14.44,3.05,-59.74,1023.00,1018.00,1017.00,1015.00,88
15.93,5.59,-63.85,1001.00,1019.00,1020.00,952.00,89
16.93,7.51,-66.22,1002.00,1016.00,1018.00,897.00,90
17.34,8.76,-68.18,1000.00,1000.00,988.00,889.00,91
17.88,10.20,-69.78,1000.00,992.00,963.00,886.00,92
17.61,10.75,-70.94,1001.00,974.00,903.00,853.00,93
17.47,11.25,-71.62,1002.00,980.00,897.00,862.00,94
17.97,11.78,-70.75,995.00,866.00,857.00,873.00,95
