y,p,r,flex1,flex2,flex3,flex4,x
0.01,-0.01,0.44,1023.00,1022.00,1023.00,1023.00,1
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,2
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,3
0.01,-0.01,0.42,1023.00,1023.00,1023.00,1023.00,4
0.01,-0.02,0.41,1023.00,1023.00,1023.00,1023.00,5
0.01,-0.01,0.41,1023.00,1023.00,1023.00,1022.00,6
0.02,-0.02,0.39,1023.00,1023.00,1023.00,1023.00,7
0.02,-0.02,0.38,1023.00,1023.00,1023.00,1023.00,8
0.03,-0.01,0.38,1023.00,1023.00,1023.00,1023.00,9
0.04,-0.01,0.36,1023.00,1023.00,1023.00,1023.00,10
0.04,-0.02,0.35,1023.00,1023.00,1023.00,1023.00,11
0.04,-0.02,0.34,1023.00,1023.00,1023.00,1023.00,12
0.04,-0.02,0.34,1023.00,1023.00,1023.00,1023.00,13
0.04,-0.02,0.33,1023.00,1023.00,1023.00,1023.00,14
0.05,-0.02,0.31,1023.00,1023.00,1023.00,1023.00,15
0.05,-0.02,0.31,1023.00,1023.00,1023.00,1023.00,16
0.06,-0.02,0.31,1023.00,1023.00,1023.00,1023.00,17
0.06,-0.02,0.30,1023.00,1023.00,1023.00,1022.00,18
0.06,-0.02,0.29,1023.00,1023.00,1023.00,1023.00,19
0.06,-0.02,0.29,1023.00,1023.00,1023.00,1023.00,20
0.06,-0.02,0.28,1023.00,1023.00,1023.00,1022.00,21
0.07,-0.02,0.28,1023.00,1023.00,1023.00,1023.00,22
0.08,-0.02,0.27,1023.00,1023.00,1023.00,1023.00,23
0.08,-0.02,0.27,1023.00,1023.00,1023.00,1023.00,24
0.08,0.01,0.25,1023.00,1023.00,1023.00,1023.00,25
0.13,0.24,0.08,1023.00,1023.00,1023.00,1023.00,26
0.41,1.29,-0.62,1022.00,1023.00,1023.00,1023.00,27
0.27,2.98,-1.33,1022.00,1023.00,1023.00,1023.00,28
-0.07,4.92,-1.72,1023.00,1023.00,1023.00,1023.00,29
-0.42,7.73,-2.20,1023.00,1023.00,1023.00,1023.00,30
-0.49,10.21,-2.55,1023.00,1023.00,1023.00,1023.00,31
-0.65,12.51,-1.35,1023.00,1023.00,1023.00,1023.00,32
-0.59,15.04,-0.40,1023.00,1023.00,1023.00,1023.00,33
-0.80,18.06,-0.53,1023.00,1023.00,1023.00,1022.00,34
-1.21,22.70,-0.47,989.00,1023.00,1023.00,1023.00,35
-1.23,27.77,0.84,973.00,1023.00,1023.00,1023.00,36
-1.25,32.12,2.65,963.00,1023.00,1023.00,1023.00,37
-1.61,35.86,4.23,956.00,1023.00,1023.00,1023.00,38
-1.69,38.99,5.27,943.00,1023.00,1023.00,1023.00,39
-1.82,40.85,6.16,946.00,1023.00,1023.00,1023.00,40
-2.25,42.19,7.23,948.00,1023.00,1023.00,1023.00,41
-2.64,43.23,8.00,957.00,1023.00,1023.00,1023.00,42
-2.78,43.96,8.50,958.00,1023.00,1023.00,1023.00,43
-2.89,44.34,8.87,971.00,1023.00,1023.00,1023.00,44
-2.99,44.49,8.99,973.00,1023.00,1023.00,1023.00,45
-3.04,44.50,9.10,973.00,1023.00,1023.00,1023.00,46
-3.08,44.42,9.14,974.00,1023.00,1023.00,1023.00,47
-3.09,44.13,8.88,976.00,1023.00,1023.00,1023.00,48
-3.13,43.55,8.52,997.00,1023.00,1023.00,1023.00,49
-3.27,42.63,8.50,989.00,1023.00,1023.00,1023.00,50
-3.35,41.44,8.41,992.00,1023.00,1023.00,1023.00,51
