y,p,r,flex1,flex2,flex3,flex4,x
0.00,-0.02,0.44,1023.00,1023.00,1023.00,1023.00,1
0.00,-0.03,0.43,1023.00,1023.00,1022.00,1023.00,2
0.00,-0.03,0.43,1023.00,1023.00,1023.00,1022.00,3
0.01,-0.03,0.41,1023.00,1023.00,1023.00,1023.00,4
0.01,-0.05,0.41,1023.00,1023.00,1023.00,1022.00,5
0.01,-0.06,0.39,1023.00,1023.00,1023.00,1023.00,6
0.01,-0.06,0.38,1023.00,1023.00,1023.00,1023.00,7
0.01,-0.06,0.38,1023.00,1023.00,1023.00,1023.00,8
0.01,-0.06,0.37,1023.00,1023.00,1023.00,1022.00,9
0.02,-0.06,0.36,1023.00,1023.00,1023.00,1023.00,10
0.02,-0.07,0.35,1023.00,1023.00,1022.00,1023.00,11
0.03,-0.08,0.35,1023.00,1023.00,1023.00,1023.00,12
0.04,-0.08,0.34,1023.00,1023.00,1023.00,1023.00,13
0.04,-0.08,0.34,1023.00,1023.00,1023.00,1023.00,14
0.05,-0.09,0.33,1023.00,1023.00,1023.00,1022.00,15
0.06,-0.09,0.33,1023.00,1023.00,1023.00,1023.00,16
0.06,-0.10,0.32,1023.00,1023.00,1023.00,1023.00,17
0.08,-0.09,0.30,1023.00,1023.00,1022.00,1023.00,18
0.09,-0.09,0.31,1023.00,1023.00,1023.00,1022.00,19
0.12,-0.23,0.24,1023.00,1023.00,1023.00,1023.00,20
0.06,-0.71,0.08,1023.00,1023.00,1023.00,1023.00,21
-0.04,-1.62,0.16,1023.00,1023.00,1023.00,1023.00,22
-0.25,-2.88,0.25,1023.00,1023.00,1023.00,1023.00,23
-0.32,-4.18,0.17,1023.00,1023.00,1023.00,1023.00,24
-0.24,-5.41,0.01,1023.00,1023.00,1023.00,1023.00,25
-0.09,-6.66,-0.23,1023.00,1023.00,1023.00,1023.00,26
-0.09,-8.13,-0.79,1023.00,1022.00,1023.00,1023.00,27
0.22,-10.12,-1.23,1023.00,1023.00,1022.00,1023.00,28
0.59,-12.44,-1.27,1023.00,1023.00,1023.00,1023.00,29
0.81,-15.24,-0.80,1023.00,1023.00,1023.00,1023.00,30
0.76,-18.48,-0.42,1023.00,1023.00,1023.00,993.00,31
0.63,-21.32,0.05,1023.00,1023.00,1023.00,986.00,32
0.26,-23.70,0.55,1023.00,932.00,1023.00,991.00,33
-0.29,-25.48,1.46,1023.00,941.00,1023.00,959.00,34
-0.84,-26.80,2.87,1023.00,939.00,1023.00,952.00,35
-1.53,-27.78,4.09,1023.00,921.00,1023.00,1010.00,36
-2.02,-28.62,5.04,1023.00,890.00,1023.00,1023.00,37
-2.38,-29.57,5.79,1023.00,885.00,1023.00,1023.00,38
-2.82,-30.97,6.49,1023.00,853.00,1023.00,1006.00,39
-3.15,-32.30,7.10,1023.00,836.00,1023.00,1005.00,40
-3.24,-33.51,7.35,1023.00,804.00,1023.00,1007.00,41
-3.36,-34.94,7.49,1023.00,789.00,1023.00,1006.00,42
-3.55,-36.58,7.30,1023.00,775.00,1023.00,1006.00,43
-3.54,-37.93,7.16,1023.00,768.00,1023.00,1005.00,44
-3.35,-38.67,7.42,1023.00,757.00,977.00,992.00,45
-3.34,-39.17,7.93,1023.00,754.00,971.00,983.00,46
-3.33,-39.50,8.34,1023.00,761.00,972.00,984.00,47
-3.48,-39.47,8.45,1023.00,774.00,976.00,987.00,48
-3.62,-39.35,8.58,1023.00,778.00,983.00,990.00,49
-3.75,-39.09,8.55,1023.00,793.00,975.00,993.00,50
-3.73,-38.41,8.09,1023.00,795.00,976.00,1023.00,51
-3.28,-36.90,7.00,1023.00,844.00,996.00,1023.00,52
-2.11,-34.07,5.33,1023.00,921.00,989.00,1023.00,53
-0.31,-29.38,4.19,1023.00,946.00,1002.00,1023.00,54
1.65,-23.12,4.29,1023.00,990.00,1023.00,1023.00,55
3.04,-16.26,5.62,1023.00,993.00,1023.00,1023.00,56
2.79,-10.18,7.10,1023.00,1023.00,1023.00,1023.00,57
1.79,-5.17,7.57,1023.00,1023.00,1023.00,1023.00,58
1.86,-1.83,7.38,1023.00,1023.00,1023.00,1023.00,59
2.01,-0.04,6.11,1023.00,1023.00,1023.00,1023.00,60
1.79,0.64,4.78,1023.00,1022.00,1022.00,1022.00,61
1.66,0.84,4.48,1023.00,1023.00,1023.00,1023.00,62
1.64,0.82,4.46,1022.00,1023.00,1023.00,1023.00,63
1.44,0.71,4.45,1023.00,1023.00,1023.00,1023.00,64
1.30,0.42,4.20,1023.00,1023.00,1023.00,1023.00,65
1.30,0.04,3.97,1023.00,1023.00,1023.00,1023.00,66
1.10,-0.52,3.35,1023.00,1023.00,1023.00,1023.00,67
0.74,-0.79,2.88,1023.00,1023.00,1023.00,1023.00,68
0.53,-0.75,2.38,1023.00,1023.00,1023.00,1023.00,69
0.41,-0.96,1.19,1023.00,1023.00,1023.00,1023.00,70
