y,p,r,flex1,flex2,flex3,flex4,x
0.01,-0.01,0.44,1023.00,1023.00,1023.00,1023.00,1
0.01,-0.01,0.43,1023.00,1023.00,1023.00,1023.00,2
0.01,-0.01,0.42,1023.00,1023.00,1023.00,1023.00,3
0.01,-0.01,0.41,1023.00,1023.00,1023.00,1023.00,4
0.01,-0.01,0.40,1023.00,1023.00,1023.00,1023.00,5
0.01,-0.01,0.39,1023.00,1023.00,1023.00,1023.00,6
0.01,-0.01,0.38,1023.00,1023.00,1023.00,1023.00,7
0.01,-0.02,0.37,1023.00,1023.00,1023.00,1023.00,8
0.01,-0.02,0.37,1023.00,1023.00,1023.00,1023.00,9
0.01,-0.02,0.35,1023.00,1023.00,1023.00,1022.00,10
0.01,-0.02,0.34,1023.00,1023.00,1023.00,1023.00,11
0.02,-0.02,0.33,1023.00,1023.00,1023.00,1023.00,12
0.02,-0.01,0.32,1023.00,1023.00,1023.00,1023.00,13
0.03,-0.01,0.31,1023.00,1023.00,1023.00,1023.00,14
0.03,-0.01,0.30,1023.00,1023.00,1023.00,1023.00,15
0.03,-0.01,0.29,1023.00,1023.00,1023.00,1023.00,16
0.03,-0.01,0.28,1023.00,1023.00,1023.00,1023.00,17
0.03,-0.01,0.28,1023.00,1023.00,1023.00,1023.00,18
0.17,0.08,0.25,1023.00,1023.00,1023.00,1023.00,19
0.75,0.54,-0.19,1023.00,1023.00,1023.00,1023.00,20
1.09,1.59,-2.22,1023.00,1023.00,1023.00,1023.00,21
1.94,3.95,-6.49,1022.00,1022.00,1023.00,1022.00,22
3.82,7.77,-13.21,1023.00,1023.00,1023.00,1023.00,23
6.81,10.41,-22.63,1023.00,1016.00,1016.00,1014.00,24
9.66,10.85,-32.88,1023.00,993.00,1008.00,1006.00,25
11.56,9.86,-41.54,1023.00,935.00,853.00,975.00,26
12.48,9.08,-48.15,1023.00,870.00,784.00,943.00,27
12.73,8.32,-53.56,1023.00,834.00,722.00,829.00,28
13.11,8.89,-57.76,1023.00,815.00,673.00,792.00,29
12.42,8.82,-61.60,1023.00,817.00,648.00,775.00,30
11.24,8.15,-64.14,1023.00,843.00,624.00,725.00,31
9.41,7.37,-67.00,1023.00,863.00,638.00,756.00,32
7.30,6.05,-68.85,1023.00,803.00,675.00,802.00,33
5.19,4.61,-69.99,1023.00,843.00,718.00,739.00,34
4.10,3.55,-69.25,1023.00,827.00,745.00,788.00,35
4.56,4.14,-68.23,1023.00,830.00,728.00,789.00,36
4.49,4.02,-67.84,1023.00,833.00,751.00,788.00,37
4.58,4.18,-67.53,1023.00,831.00,742.00,792.00,38
4.56,4.12,-67.52,1023.00,847.00,763.00,789.00,39
4.96,4.31,-67.83,1023.00,844.00,765.00,799.00,40
6.22,5.41,-68.32,1023.00,843.00,761.00,820.00,41
7.62,6.64,-68.89,1023.00,840.00,755.00,807.00,42
9.84,8.52,-69.12,1023.00,841.00,756.00,815.00,43
12.63,10.92,-68.42,1023.00,847.00,755.00,818.00,44
15.42,13.19,-67.63,1023.00,851.00,753.00,812.00,45
20.69,17.34,-66.14,1023.00,856.00,755.00,805.00,46
27.49,22.55,-61.94,1023.00,867.00,731.00,820.00,47
35.78,28.78,-56.58,1007.00,866.00,752.00,838.00,48
46.03,36.86,-48.17,1006.00,880.00,746.00,827.00,49
55.62,44.94,-39.64,988.00,884.00,763.00,826.00,50
63.39,50.19,-29.10,986.00,879.00,763.00,824.00,51
70.71,53.62,-14.71,1023.00,882.00,758.00,821.00,52
75.46,54.19,-4.93,1023.00,880.00,764.00,821.00,53
78.87,54.14,2.61,999.00,876.00,765.00,820.00,54
81.33,54.04,8.01,1000.00,886.00,764.00,816.00,55
81.57,53.41,8.26,989.00,879.00,772.00,823.00,56
82.05,53.68,8.82,993.00,888.00,774.00,821.00,57
82.22,54.15,8.80,997.00,890.00,774.00,827.00,58
81.49,54.56,6.96,997.00,896.00,776.00,814.00,59
81.22,55.52,6.29,1001.00,895.00,775.00,818.00,60
80.59,56.65,4.88,991.00,900.00,776.00,817.00,61
78.62,58.25,-1.56,1023.00,901.00,776.00,811.00,62
75.73,59.67,-9.50,1022.00,902.00,775.00,818.00,63
70.14,59.46,-20.52,1023.00,906.00,775.00,819.00,64
59.91,54.79,-39.15,1023.00,907.00,791.00,803.00,65
43.42,43.37,-57.65,1023.00,902.00,807.00,802.00,66
